DATE,PRICE,EV,EVEBIT,MARKETCAP,PB,PE
10/2/2017,88.1,13251.2,40.8,13892.3,8.3,50.6
10/3/2017,92.72,13979.7,43,14620.8,8.7,53.3
10/4/2017,90.68,13658,42,14299.1,8.5,52.1
10/5/2017,89.88,13531.8,41.6,14172.9,8.4,51.6
10/6/2017,91.63,13807.8,42.5,14448.9,8.6,52.6
10/9/2017,91.64,13809.4,42.5,14450.5,8.6,52.7
10/10/2017,93.44,14093.2,43.4,14734.3,8.8,53.7
10/11/2017,91.34,13762.1,42.3,14403.2,8.6,52.5
10/12/2017,90.53,13634.3,41.9,14275.4,8.5,52
10/13/2017,93.8,14150,43.5,14791.1,8.8,53.9
10/16/2017,93.63,14123.2,43.4,14764.3,8.8,53.8
10/17/2017,90.93,13697.4,42.1,14338.5,8.5,52.2
10/18/2017,91.23,13744.7,42.3,14385.8,8.6,52.4
10/19/2017,90.5,13629.6,41.9,14270.7,8.5,52
10/20/2017,92.75,13984.4,43,14625.5,8.7,53.3
10/23/2017,93.97,14176.8,43.6,14817.9,8.8,54
10/24/2017,92.12,13687.2,39.5,14526.2,8,49.8
10/25/2017,88.93,13190.5,38.1,14029.5,7.7,48.1
10/26/2017,82.75,12209.6,35.2,13048.6,7.2,44.7
10/27/2017,85.36,12621.2,36.4,13460.2,7.4,46.1
10/30/2017,82.75,12209.6,35.2,13048.6,7.2,44.7
10/31/2017,83.24,12286.9,35.5,13125.9,7.2,45
11/1/2017,82.46,12163.9,35.1,13002.9,7.1,44.6
11/2/2017,81.67,12039.3,34.7,12878.3,7.1,44.1
11/3/2017,81.54,12018.8,34.7,12857.8,7.1,44.1
11/6/2017,88,13037.5,37.6,13876.5,7.6,47.6
11/7/2017,87.51,12960.2,37.4,13799.2,7.6,47.3
11/8/2017,87.14,12901.9,37.2,13740.9,7.6,47.1
11/9/2017,85.42,12630.7,36.4,13469.7,7.4,46.2
11/10/2017,85.53,12648,36.5,13487,7.4,46.2
11/13/2017,84.58,12498.2,36.1,13337.2,7.3,45.7
11/14/2017,84.1,12422.5,35.8,13261.5,7.3,45.4
11/15/2017,84.98,12561.3,36.2,13400.3,7.4,45.9
11/16/2017,88.13,13058,37.7,13897,7.6,47.6
11/17/2017,89.29,13240.9,38.2,14079.9,7.7,48.3
11/20/2017,88.23,13073.8,37.7,13912.8,7.7,47.7
11/21/2017,90.39,13414.4,38.7,14253.4,7.8,48.8
11/22/2017,89.31,13244.1,38.2,14083.1,7.7,48.3
11/24/2017,88.57,13127.4,37.9,13966.4,7.7,47.9
11/27/2017,86.27,12764.7,36.8,13603.7,7.5,46.6
11/28/2017,88.29,13083.2,37.7,13922.2,7.7,47.7
11/29/2017,85,12564.4,36.3,13403.4,7.4,45.9
11/30/2017,84.86,12542.4,36.2,13381.4,7.4,45.9
12/1/2017,84.28,12450.9,35.9,13289.9,7.3,45.5
12/4/2017,84.69,12515.5,36.1,13354.5,7.3,45.8
12/5/2017,84.48,12482.4,36,13321.4,7.3,45.7
12/6/2017,88.88,13176.3,38,14015.3,7.7,48
12/7/2017,88.89,13177.8,38,14016.8,7.7,48
12/8/2017,90.01,13354.4,38.5,14193.4,7.8,48.6
12/11/2017,90.24,13390.7,38.6,14229.7,7.8,48.8
12/12/2017,89.18,13223.6,38.2,14062.6,7.7,48.2
12/13/2017,88.2,13069,37.7,13908,7.6,47.7
12/14/2017,89.43,13263,38.3,14102,7.8,48.3
12/15/2017,89.5,13274,38.3,14113,7.8,48.4
12/18/2017,91.88,13649.3,39.4,14488.3,8,49.7
12/19/2017,90.89,13493.2,38.9,14332.2,7.9,49.1
12/20/2017,91.81,13638.3,39.4,14477.3,8,49.6
12/21/2017,92.19,13698.2,39.5,14537.2,8,49.8
12/22/2017,91.75,13628.8,39.3,14467.8,8,49.6
12/26/2017,92.46,13740.8,39.6,14579.8,8,50
12/27/2017,92.83,13799.1,39.8,14638.1,8,50.2
12/28/2017,92.65,13770.7,39.7,14609.7,8,50.1
12/29/2017,94,13983.6,40.3,14822.6,8.2,50.8
1/2/2018,97.79,14581.3,42.1,15420.3,8.5,52.8
1/3/2018,101.57,15177.3,43.8,16016.3,8.8,54.9
1/4/2018,99.39,14833.6,42.8,15672.6,8.6,53.7
1/5/2018,100.86,15065.4,43.5,15904.4,8.7,54.5
1/8/2018,101.49,15164.7,43.8,16003.7,8.8,54.8
1/9/2018,103.51,15483.2,44.7,16322.2,9,55.9
1/10/2018,103.23,15439.1,44.5,16278.1,9,55.8
1/11/2018,101.92,15232.5,44,16071.5,8.8,55.1
1/12/2018,104.92,15705.6,45.3,16544.6,9.1,56.7
1/16/2018,100.52,15011.7,43.3,15850.7,8.7,54.3
1/17/2018,102.25,15284.5,44.1,16123.5,8.9,55.3
1/18/2018,102.35,15300.3,44.1,16139.3,8.9,55.3
1/19/2018,101.69,15196.2,43.8,16035.2,8.8,55
1/22/2018,98.94,14762.6,42.6,15601.6,8.6,53.5
1/23/2018,90.1,13368.6,38.6,14207.6,7.8,48.7
1/24/2018,90.02,13376.8,39.3,14195,7.8,49.7
1/25/2018,92,13689,40.2,14507.2,8,50.8
1/26/2018,94.41,14069.1,41.3,14887.3,8.2,52.1
1/29/2018,94.4,14067.5,41.3,14885.7,8.2,52.1
1/30/2018,91.07,13542.4,39.8,14360.6,7.9,50.3
1/31/2018,92.09,13703.2,40.2,14521.4,8,50.8
2/1/2018,91.6,13626,40,14444.2,7.9,50.6
2/2/2018,89.58,13307.4,39.1,14125.6,7.8,49.4
2/5/2018,88.08,13070.9,38.4,13889.1,7.6,48.6
2/6/2018,87.6,12995.2,38.2,13813.4,7.6,48.3
2/7/2018,86.71,12854.9,37.7,13673.1,7.5,47.9
2/8/2018,82.77,12233.6,35.9,13051.8,7.2,45.7
2/9/2018,85,12585.2,36.9,13403.4,7.4,46.9
2/12/2018,86.71,12854.9,37.7,13673.1,7.5,47.9
2/13/2018,85.68,12692.5,37.3,13510.7,7.4,47.3
2/14/2018,88.79,13182.9,38.7,14001.1,7.7,49
2/15/2018,92.68,13796.3,40.5,14614.5,8,51.2
2/16/2018,92.94,13837.3,40.6,14655.5,8,51.3
2/20/2018,93.16,13872,40.7,14690.2,8.1,51.4
2/21/2018,92.78,13812,40.6,14630.2,8,51.2
2/22/2018,92.42,13755.3,40.4,14573.5,8,51
2/23/2018,95.95,14311.9,42,15130.1,8.3,53
2/26/2018,92.02,13692.2,40.2,14510.4,8,50.8
2/27/2018,90.1,13389.4,39.3,14207.6,7.8,49.7
2/28/2018,91.39,13592.9,39.9,14411.1,7.9,50.4
3/1/2018,87.35,12955.8,38,13774,7.6,48.2
3/2/2018,85.92,12730.3,37.4,13548.5,7.4,47.4
3/5/2018,86.05,12750.8,37.4,13569,7.5,47.5
3/6/2018,87.45,12971.6,38.1,13789.8,7.6,48.3
3/7/2018,91.05,13539.2,39.8,14357.4,7.9,50.3
3/8/2018,93.03,13851.5,40.7,14669.7,8.1,51.3
3/9/2018,93.5,13925.6,40.9,14743.8,8.1,51.6
