Date,edu,csco
2017-10-02,88.099998,33.75
2017-10-03,92.720001,33.849998
2017-10-04,90.68,33.439999
2017-10-05,89.879997,33.59
2017-10-06,91.629997,33.75
2017-10-09,91.639999,33.759998
2017-10-10,93.440002,33.549999
2017-10-11,91.339996,33.59
2017-10-12,90.529999,33.259998
2017-10-13,93.800003,33.470001
2017-10-16,93.629997,33.540001
2017-10-17,90.93,33.599998
2017-10-18,91.230003,33.549999
2017-10-19,90.5,33.75
2017-10-20,92.75,34.25
2017-10-23,93.970001,34.349998
2017-10-24,92.120003,34.580002
2017-10-25,88.93,34.299999
2017-10-26,82.75,34.27
2017-10-27,85.360001,34.43
2017-10-30,82.75,34.040001
2017-10-31,83.239998,34.150002
2017-11-01,82.459999,34.619999
2017-11-02,81.669998,34.209999
2017-11-03,81.540001,34.470001
2017-11-06,88,34.41
2017-11-07,87.510002,34.400002
2017-11-08,87.139999,34.5
2017-11-09,85.419998,34.049999
2017-11-10,85.529999,33.990002
2017-11-13,84.580002,33.950001
2017-11-14,84.099998,34.040001
2017-11-15,84.980003,34.110001
2017-11-16,88.129997,35.880001
2017-11-17,89.290001,35.900002
2017-11-20,88.230003,36.5
2017-11-21,90.389999,36.650002
2017-11-22,89.309998,36.450001
2017-11-24,88.57,36.490002
2017-11-27,86.269997,36.869999
2017-11-28,88.290001,37.73
2017-11-29,85,37.48
2017-11-30,84.860001,37.299999
2017-12-01,84.279999,37.599998
2017-12-04,84.690002,37.720001
2017-12-05,84.480003,37.310001
2017-12-06,88.879997,37.41
2017-12-07,88.889999,37.400002
2017-12-08,90.010002,37.610001
2017-12-11,90.239998,37.959999
2017-12-12,89.18,37.91
2017-12-13,88.199997,38.150002
2017-12-14,89.43,37.900002
2017-12-15,89.5,38.189999
2017-12-18,91.879997,38.48
2017-12-19,90.889999,38.299999
2017-12-20,91.809998,38.740002
2017-12-21,92.190002,38.529999
2017-12-22,91.75,38.549999
2017-12-26,92.459999,38.48
2017-12-27,92.830002,38.560001
2017-12-28,92.650002,38.59
2017-12-29,94,38.299999
2018-01-02,97.790001,38.860001
2018-01-03,101.57,39.169998
2018-01-04,99.389999,38.990002
2018-01-05,100.860001,39.529999
2018-01-08,101.489998,39.939999
2018-01-09,103.510002,39.689999
2018-01-10,103.230003,39.91
2018-01-11,101.919998,40.099998
2018-01-12,104.919998,40.869999
2018-01-16,100.519997,40.540001
2018-01-17,102.25,41.200001
2018-01-18,102.349998,41.299999
2018-01-19,101.690002,41.290001
2018-01-22,98.940002,41.66
2018-01-23,90.099998,42.099998
2018-01-24,90.019997,42.169998
2018-01-25,92,41.900002
2018-01-26,94.410004,42.560001
2018-01-29,94.400002,42.849998
2018-01-30,91.07,42.25
2018-01-31,92.089996,41.540001
2018-02-01,91.599998,41.700001
2018-02-02,89.580002,40.93
2018-02-05,88.080002,38.779999
2018-02-06,87.599998,40.169998
2018-02-07,86.709999,40.34
2018-02-08,82.769997,38.77
2018-02-09,85,39.529999
2018-02-12,86.709999,40.599998
2018-02-13,85.68,41.23
2018-02-14,88.790001,42.09
2018-02-15,92.68,44.080002
2018-02-16,92.940002,44.330002
2018-02-20,93.160004,44.060001
2018-02-21,92.779999,43.310001
2018-02-22,92.419998,42.939999
2018-02-23,95.949997,44
2018-02-26,92.019997,45.360001
2018-02-27,90.099998,45.040001
2018-02-28,91.389999,44.779999
2018-03-01,87.349998,43.799999
2018-03-02,85.919998,44.060001
2018-03-05,86.050003,44.52
2018-03-06,87.449997,44.290001
2018-03-07,91.050003,44.200001
2018-03-08,93.029999,44.34
2018-03-09,93.5,45.369999
2018-03-12,94.809998,45.549999
2018-03-13,91.349998,45.16
2018-03-14,91.809998,45.279999
2018-03-15,93.779999,45.330002
2018-03-16,90.5,45.009998
2018-03-19,92.660004,44.27
2018-03-20,97.040001,44.369999
2018-03-21,95.82,44.310001
2018-03-22,91.120003,43.07
2018-03-23,89.919998,42.419998
2018-03-26,91.779999,44.060001
2018-03-27,87.730003,42.68
2018-03-28,86.25,41.66
2018-03-29,87.650002,42.889999
2018-04-02,86.029999,41.009998
2018-04-03,86.480003,41.380001
2018-04-04,87.690002,41.200001
2018-04-05,88.970001,41.82
2018-04-06,88.720001,40.73
2018-04-09,91.599998,41.169998
2018-04-10,95.389999,42.509998
2018-04-11,95.470001,42.43
2018-04-12,94.120003,43.34
2018-04-13,92.290001,43
2018-04-16,91.43,43.299999
2018-04-17,92.400002,44.59
2018-04-18,93.650002,44.630001
2018-04-19,91.620003,44.560001
2018-04-20,91.110001,44.09
2018-04-23,86.82,44.25
2018-04-24,90.269997,43.740002
2018-04-25,88.470001,43.709999
2018-04-26,90.290001,44.209999
2018-04-27,90.089996,44.709999
2018-04-30,89.839996,44.290001
2018-05-01,91.360001,44.830002
2018-05-02,91.510002,43.860001
2018-05-03,91.57,44.439999
2018-05-04,90.779999,45.299999
2018-05-07,91.669998,45.73
2018-05-08,92.25,45.709999
2018-05-09,91.989998,46.040001
2018-05-10,94.400002,46.299999
2018-05-11,93.25,45.93
2018-05-14,93.519997,45.700001
2018-05-15,93.209999,45.48
2018-05-16,93.199997,45.16
2018-05-17,93.660004,43.459999
2018-05-18,94.040001,43.209999
2018-05-21,95.910004,43.75
2018-05-22,96.489998,43.650002
2018-05-23,101.330002,43.68
2018-05-24,104.300003,43.57
2018-05-25,100.68,43.259998
2018-05-29,98.269997,42.970001
2018-05-30,97.629997,42.849998
2018-05-31,99.470001,42.709999
2018-06-01,101.400002,43.66
2018-06-04,101.050003,43.580002
2018-06-05,102.529999,43.669998
2018-06-06,104.410004,44.259998
2018-06-07,104.330002,43.650002
2018-06-08,105,43.48
2018-06-11,105.400002,43.689999
2018-06-12,106.269997,43.939999
2018-06-13,102.82,44.009998
2018-06-14,103.989998,44.689999
2018-06-15,103.809998,44.25
2018-06-18,104.970001,44.209999
2018-06-19,105.690002,43.82
2018-06-20,103.879997,43.740002
2018-06-21,102.529999,43.16
2018-06-22,100.919998,43.200001
2018-06-25,95.449997,42.290001
2018-06-26,95.129997,42.549999
2018-06-27,92.650002,42.330002
2018-06-28,93.879997,42.939999
2018-06-29,94.660004,43.029999
2018-07-02,94.419998,42.810001
2018-07-03,94.580002,42.669998
2018-07-05,91.709999,42.560001
2018-07-06,94.459999,42.709999
2018-07-09,96.32,42.669998
2018-07-10,95.230003,42.860001
2018-07-11,95.379997,42.57
2018-07-12,98.129997,43.580002
