,Date,Close,Adj_Date,Predicted_Close
974,2019-10-01,47.740002000000004,2019-09-24,49.33421
975,2019-10-02,46.560001,2019-09-25,49.34659
976,2019-10-03,47.060001,2019-09-26,49.27707
977,2019-10-04,47.52,2019-09-27,49.12652
978,2019-10-07,47.77,2019-09-30,48.96844
979,2019-10-08,46.389998999999996,2019-10-01,48.815426
980,2019-10-09,46.84,2019-10-02,48.67162
981,2019-10-10,46.150002,2019-10-03,48.51713
982,2019-10-11,46.560001,2019-10-04,48.330982
983,2019-10-14,46.049999,2019-10-07,48.158302
984,2019-10-15,46.360001000000004,2019-10-08,47.993927
985,2019-10-16,46.790001000000004,2019-10-09,47.83055
986,2019-10-17,47.029999,2019-10-10,47.679554
987,2019-10-18,46.709998999999996,2019-10-11,47.571743
988,2019-10-21,47.389998999999996,2019-10-14,47.491585
989,2019-10-22,47.549999,2019-10-15,47.43464
990,2019-10-23,47.049999,2019-10-16,47.40875
991,2019-10-24,46.41,2019-10-17,47.40196
992,2019-10-25,46.900002,2019-10-18,47.399334
993,2019-10-28,47.169998,2019-10-21,47.37475
994,2019-10-29,47.240002000000004,2019-10-22,47.362255
995,2019-10-30,47.560001,2019-10-23,47.350117
996,2019-10-31,47.509997999999996,2019-10-24,47.350506
997,2019-11-01,47.029999,2019-10-25,47.369267
998,2019-11-04,47.48,2019-10-28,47.37013
999,2019-11-05,47.759997999999996,2019-10-29,47.386604
1000,2019-11-06,48.27,2019-10-30,47.41355
1001,2019-11-07,48.419998,2019-10-31,47.45435
1002,2019-11-08,48.830002,2019-11-01,47.53214
1003,2019-11-11,48.099998,2019-11-04,47.621216
1004,2019-11-12,48.369999,2019-11-05,47.69981
1005,2019-11-13,48.459998999999996,2019-11-06,47.78088
1006,2019-11-14,44.91,2019-11-07,47.857494
1007,2019-11-15,45.09,2019-11-08,47.82679
1008,2019-11-18,45.150002,2019-11-11,47.719044
1009,2019-11-19,45.470001,2019-11-12,47.56299
1010,2019-11-20,45.080002,2019-11-13,47.39638
1011,2019-11-21,44.84,2019-11-14,47.238445
1012,2019-11-22,44.849998,2019-11-15,47.07021
1013,2019-11-25,45.450001,2019-11-18,46.904625
1014,2019-11-26,45.310001,2019-11-19,46.74157
1015,2019-11-27,45.240002000000004,2019-11-20,46.60653
1016,2019-11-29,45.310001,2019-11-22,46.486908
1017,2019-12-02,44.700001,2019-11-25,46.378403
1018,2019-12-03,44.279999,2019-11-26,46.282326
1019,2019-12-04,43.889998999999996,2019-11-27,46.1671
1020,2019-12-05,43.52,2019-11-28,46.051315
1021,2019-12-06,43.84,2019-11-29,45.922062
1022,2019-12-09,43.900002,2019-12-02,45.78484
1023,2019-12-10,44.099998,2019-12-03,45.648193
1024,2019-12-11,44.279999,2019-12-04,45.515713
1025,2019-12-12,45.669998,2019-12-05,45.409527
1026,2019-12-13,45.299999,2019-12-06,45.329765
1027,2019-12-16,45.98,2019-12-09,45.318825
1028,2019-12-17,46.439999,2019-12-10,45.34515
1029,2019-12-18,46.639998999999996,2019-12-11,45.410988
1030,2019-12-19,47.880001,2019-12-12,45.5101
1031,2019-12-20,47.450001,2019-12-13,45.64962
1032,2019-12-23,48.099998,2019-12-16,45.84894
1033,2019-12-24,47.779999,2019-12-17,46.050972
1034,2019-12-26,47.849998,2019-12-19,46.272686
1035,2019-12-27,47.77,2019-12-20,46.482906
1036,2019-12-30,47.59,2019-12-23,46.68699
1037,2019-12-31,47.959998999999996,2019-12-24,46.869587
1038,2020-01-02,48.419998,2019-12-26,47.02409
1039,2020-01-03,47.630001,2019-12-27,47.17444
1040,2020-01-06,47.799999,2019-12-30,47.30856
1041,2020-01-07,47.490002000000004,2019-12-31,47.39837
1042,2020-01-08,47.52,2020-01-01,47.480312
1043,2020-01-09,47.32,2020-01-02,47.523167
1044,2020-01-10,47.130001,2020-01-03,47.572357
1045,2020-01-13,47.970001,2020-01-06,47.60874
1046,2020-01-14,47.790001000000004,2020-01-07,47.63005
1047,2020-01-15,48.009997999999996,2020-01-08,47.66579
1048,2020-01-16,49.049999,2020-01-09,47.70553
