,Open,Date
0,82.860001,
1,81.889999,
2,82.33000200000001,
3,83.110001,
4,82.58000200000001,
5,83.0,
6,81.370003,
7,76.239998,
8,79.660004,
9,81.0,
10,79.07,
11,75.93,
12,76.709999,
13,77.57,
14,78.900002,
15,80.260002,
16,80.550003,
17,80.66999799999999,
18,80.309998,
19,82.779999,
20,84.589996,
21,84.599998,
22,87.400002,
23,90.779999,
24,89.16999799999999,
25,89.41999799999999,
26,88.83000200000001,
27,89.0,
28,88.940002,
29,89.0,
30,90.760002,
31,90.66999799999999,
32,91.269997,
33,91.0,
34,91.599998,
35,90.470001,
36,88.68,
37,90.129997,
38,86.75,
39,93.879997,
40,89.870003,
41,92.910004,
42,94.540001,
43,94.269997,
44,96.110001,
45,93.970001,
46,96.0,
47,91.980003,
48,91.0,
49,88.349998,
50,88.82,
51,88.540001,
52,85.540001,
53,82.75,
54,84.099998,
55,86.010002,
56,84.599998,
57,83.620003,
58,83.5,
59,84.139999,
60,81.089996,
61,81.75,
62,82.269997,
63,82.260002,
64,83.589996,
65,83.82,
66,85.650002,
67,88.089996,
68,91.550003,
69,88.120003,
70,88.800003,
71,90.300003,
72,91.300003,
73,90.260002,
74,90.139999,
75,89.870003,
76,90.690002,
77,90.33000200000001,
78,92.57,
79,94.690002,
80,93.239998,
81,94.989998,
82,92.620003,
83,92.269997,
84,96.25,
85,95.739998,
86,99.559998,
87,98.269997,
88,97.860001,
89,97.08000200000001,
90,95.43,
91,90.849998,
92,93.300003,
93,90.980003,
94,92.699997,
95,94.730003,
96,94.959999,
97,96.849998,
98,95.800003,
99,97.839996,
100,97.559998,
101,105.0,
102,105.940002,
103,106.25,
104,107.0,
105,104.5,
106,104.0,
107,105.0,
108,104.66999799999999,
109,102.349998,
110,99.0,
111,99.82,
112,99.809998,
113,103.389999,
114,104.0,
115,103.010002,
116,101.900002,
117,103.5,
118,102.709999,
119,103.790001,
120,106.400002,
121,105.82,
122,107.410004,
123,108.0,
124,106.989998,
125,105.720001,
126,107.33000200000001,
127,109.0,
128,112.260002,
129,113.889999,
130,109.860001,
131,110.089996,
132,109.510002,
133,113.290001,
134,112.0,
135,111.220001,
136,106.540001,
137,107.41999799999999,
138,110.0,
139,109.610001,
140,109.91999799999999,
141,110.540001,
142,111.559998,
143,113.589996,
144,112.370003,
145,113.18,
146,111.18,
147,112.410004,
148,113.839996,
149,107.800003,
150,110.790001,2019-10-01
151,110.58000200000001,2019-10-02
152,109.239998,2019-10-03
153,112.209999,2019-10-04
154,114.08000200000001,2019-10-07
155,112.910004,2019-10-08
156,109.93,2019-10-09
157,110.470001,2019-10-10
158,114.0,2019-10-11
159,113.660004,2019-10-14
160,113.970001,2019-10-15
161,116.370003,2019-10-16
162,116.43,2019-10-17
163,114.889999,2019-10-18
164,114.260002,2019-10-21
165,119.220001,2019-10-22
166,109.470001,2019-10-23
167,114.720001,2019-10-24
168,119.93,2019-10-25
169,121.599998,2019-10-28
170,120.480003,2019-10-29
171,120.239998,2019-10-30
172,122.660004,2019-10-31
173,123.0,2019-11-01
174,121.0,2019-11-04
175,122.970001,2019-11-05
176,122.870003,2019-11-06
177,120.949997,2019-11-07
178,122.959999,2019-11-08
179,119.239998,2019-11-11
180,121.0,2019-11-12
181,119.660004,2019-11-13
182,122.190002,2019-11-14
183,122.540001,2019-11-15
184,121.900002,2019-11-18
185,122.059998,2019-11-19
186,121.639999,2019-11-20
187,118.449997,2019-11-21
188,118.58000200000001,2019-11-22
189,120.559998,2019-11-25
190,122.739998,2019-11-26
191,123.610001,2019-11-27
192,122.879997,2019-11-29
193,121.279999,2019-12-02
194,120.93,2019-12-03
195,120.809998,2019-12-04
196,120.410004,2019-12-05
197,121.120003,2019-12-06
198,121.239998,2019-12-09
199,121.610001,2019-12-10
200,120.269997,2019-12-11
201,121.959999,2019-12-12
202,122.019997,2019-12-13
203,124.440002,2019-12-16
204,123.629997,2019-12-17
205,124.91999799999999,2019-12-18
206,127.5,2019-12-19
207,123.699997,2019-12-20
208,124.83000200000001,2019-12-23
209,124.360001,2019-12-24
210,125.010002,2019-12-26
211,125.510002,2019-12-27
212,124.0,2019-12-30
213,122.480003,2019-12-31
214,124.150002,2020-01-02
215,125.489998,2020-01-03
216,125.449997,2020-01-06
217,129.330002,2020-01-07
218,129.389999,2020-01-08
219,133.779999,2020-01-09
220,133.949997,2020-01-10
221,132.880005,2020-01-13
222,134.389999,2020-01-14
223,137.389999,2020-01-15
224,139.800003,2020-01-16
225,140.83999599999999,2020-01-17
226,131.28999299999998,2020-01-21
227,133.929993,2020-01-22
228,129.009995,2020-01-23
229,129.479996,2020-01-24
230,116.739998,2020-01-27
231,123.449997,2020-01-28
232,130.449997,2020-01-29
233,124.949997,2020-01-30
234,123.160004,2020-01-31
235,122.660004,2020-02-03
236,131.179993,2020-02-04
237,134.699997,2020-02-05
238,133.300003,2020-02-06
239,133.029999,2020-02-07
240,133.070007,2020-02-10
241,135.96000700000002,2020-02-11
242,138.46000700000002,2020-02-12
243,137.66000400000001,2020-02-13
244,139.820007,2020-02-14
245,141.78999299999998,2020-02-18
246,140.0,2020-02-19
247,141.899994,2020-02-20
248,137.16000400000001,2020-02-21
249,133.279999,2020-02-24
250,135.869995,2020-02-25
251,135.179993,2020-02-26
252,132.53999299999998,2020-02-27
253,129.490005,2020-02-28
254,130.009995,2020-03-02
255,134.75,2020-03-03
256,135.350006,2020-03-04
257,133.449997,2020-03-05
258,131.449997,2020-03-06
259,122.050003,2020-03-09
260,130.91000400000001,2020-03-10
261,125.910004,2020-03-11
262,119.110001,2020-03-12
263,121.739998,2020-03-13
264,113.5,2020-03-16
265,115.83000200000001,2020-03-17
266,111.5,2020-03-18
267,110.0,2020-03-19
268,112.650002,2020-03-20
269,108.739998,2020-03-23
270,107.709999,2020-03-24
271,118.550003,2020-03-25
272,123.510002,2020-03-26
273,117.629997,2020-03-27
274,111.029999,2020-03-30
275,108.849998,2020-03-31
276,106.599998,2020-04-01
277,105.0,2020-04-02
278,106.989998,2020-04-03
279,110.0,2020-04-06
280,114.860001,2020-04-07
281,110.959999,2020-04-08
282,113.0,2020-04-09
283,115.889999,2020-04-13
284,120.550003,2020-04-14
285,115.989998,2020-04-15
286,115.57,2020-04-16
287,111.650002,2020-04-17
288,110.82,2020-04-20
289,109.379997,2020-04-21
290,118.230003,2020-04-22
291,114.41999799999999,2020-04-23
292,111.93,2020-04-24
293,112.529999,2020-04-27
294,123.339996,2020-04-28
295,122.459999,2020-04-29
296,126.720001,2020-04-30
297,123.5,2020-05-01
298,119.07,2020-05-04
299,121.75,2020-05-05
300,124.150002,2020-05-06
301,124.790001,2020-05-07
302,125.620003,2020-05-08
303,127.639999,2020-05-11
304,126.160004,2020-05-12
305,126.0,2020-05-13
306,118.120003,2020-05-14
307,119.660004,2020-05-15
308,121.209999,2020-05-18
309,124.800003,2020-05-19
