Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,28.660000,29.059999,28.150000,28.360001,28.203890,1552200
2015-11-17,28.530001,28.660000,27.799999,28.230000,28.074604,1034500
2015-11-18,28.379999,28.790001,28.150000,28.709999,28.551962,1644600
2015-11-19,28.770000,30.350000,28.610001,30.250000,30.083485,1631400
2015-11-20,30.530001,30.980000,30.049999,30.139999,29.974091,1390200
2015-11-23,30.180000,30.430000,29.879999,30.160000,29.993980,1425700
2015-11-24,29.879999,30.190001,29.760000,30.049999,29.884586,1131000
2015-11-25,30.070000,30.950001,30.049999,30.370001,30.202826,2398200
2015-11-27,30.160000,30.200001,28.620001,29.660000,29.496733,1059800
2015-11-30,29.910000,29.959999,28.850000,29.020000,28.860256,10326100
2015-12-01,29.020000,30.629999,28.990000,30.629999,30.461393,2658900
2015-12-02,30.719999,31.309999,30.620001,31.170000,30.998421,1445800
2015-12-03,31.139999,31.420000,30.860001,31.180000,31.008368,1705500
2015-12-04,31.250000,31.430000,31.000000,31.379999,31.207264,1382100
2015-12-07,31.280001,32.029999,31.240000,31.600000,31.426054,1930900
2015-12-08,31.770000,32.430000,31.510000,32.320000,32.142090,1652700
2015-12-09,32.270000,32.560001,31.700001,31.920000,31.744293,1498500
2015-12-10,32.090000,32.380001,31.650000,32.150002,31.973028,1419800
2015-12-11,31.889999,32.130001,31.580000,31.930000,31.754238,1468400
2015-12-14,31.770000,32.040001,31.760000,32.000000,31.823853,1378300
2015-12-15,32.320000,33.560001,32.110001,32.900002,32.718899,2563800
2015-12-16,33.000000,33.299999,32.619999,32.919998,32.738785,1956900
2015-12-17,33.119999,33.419998,32.820000,32.919998,32.738785,3034800
2015-12-18,32.529999,33.080002,32.470001,32.950001,32.768623,1484700
2015-12-21,33.090000,33.480000,32.689999,32.939999,32.758678,1051000
2015-12-22,32.939999,32.939999,32.090000,32.450001,32.271378,855000
2015-12-23,32.660000,32.880001,32.500000,32.669998,32.490162,603200
2015-12-24,32.560001,32.900002,32.560001,32.759998,32.579666,243000
2015-12-28,32.570000,32.759998,32.200001,32.590000,32.410606,1244200
2015-12-29,32.840000,32.880001,32.099998,32.240002,32.062534,1016800
2015-12-30,32.250000,32.480000,31.540001,31.600000,31.426054,623900
2015-12-31,31.580000,31.620001,31.070000,31.370001,31.197321,456700
2016-01-04,30.790001,30.790001,29.410000,29.450001,29.287889,1804900
2016-01-05,29.750000,30.059999,29.240000,29.270000,29.108881,1906600
2016-01-06,28.860001,29.360001,28.820000,28.969999,28.810532,2903600
2016-01-07,28.639999,28.639999,27.400000,27.480000,27.328733,2784200
2016-01-08,27.719999,28.280001,27.549999,27.959999,27.806089,2644900
2016-01-11,27.680000,28.190001,27.500000,27.879999,27.726530,2166800
2016-01-12,28.150000,28.740000,28.150000,28.570000,28.412733,2110000
2016-01-13,28.650000,28.770000,27.770000,28.110001,27.955267,1281500
2016-01-14,28.260000,28.809999,28.040001,28.370001,28.213835,1906200
2016-01-15,28.070000,28.299999,27.620001,27.889999,27.736475,1660700
2016-01-19,30.000000,30.709999,28.660000,28.889999,28.730970,3083700
2016-01-20,28.610001,29.250000,28.170000,28.650000,28.492292,1985100
2016-01-21,28.809999,29.160000,28.440001,28.870001,28.711082,1887700
2016-01-22,29.180000,29.610001,28.969999,29.590000,29.427118,1401400
2016-01-25,29.670000,29.930000,29.360001,29.400000,29.238165,1366900
2016-01-26,29.430000,29.889999,29.340000,29.670000,29.506678,2388200
2016-01-27,29.820000,30.400000,29.650000,30.240000,30.073540,2456400
2016-01-28,30.580000,30.930000,30.320000,30.450001,30.282385,1763000
2016-01-29,30.500000,31.639999,30.469999,31.410000,31.237101,1626300
2016-02-01,31.400000,32.320000,31.389999,32.009998,31.833796,1727400
2016-02-02,31.920000,32.320000,31.620001,32.049999,31.873577,1420500
2016-02-03,32.380001,32.529999,31.799999,32.340000,32.161980,2809200
2016-02-04,32.750000,32.910000,31.160000,31.459999,31.286823,1667200
2016-02-05,31.410000,31.410000,30.030001,30.190001,30.023817,792200
2016-02-08,29.920000,29.950001,28.760000,29.190001,29.029322,1179700
2016-02-09,29.049999,29.430000,28.430000,28.860001,28.701138,1547900
2016-02-10,28.980000,29.799999,28.570000,29.290001,29.128771,1417400
2016-02-11,28.870001,29.190001,28.620001,28.850000,28.691193,1253400
2016-02-12,29.190001,29.700001,28.830000,29.510000,29.347559,1325100
2016-02-16,30.299999,31.740000,30.110001,31.080000,30.908916,2053600
2016-02-17,31.350000,31.510000,30.629999,30.840000,30.670238,1089900
2016-02-18,31.129999,31.270000,30.730000,30.980000,30.809467,1853500
2016-02-19,30.860001,31.660000,30.610001,31.540001,31.366386,737200
2016-02-22,31.809999,32.029999,31.510000,31.770000,31.595119,864900
2016-02-23,31.510000,31.860001,31.270000,31.680000,31.505615,900300
2016-02-24,31.350000,32.000000,30.889999,31.889999,31.714457,1527700
2016-02-25,31.830000,31.980000,31.490000,31.889999,31.714457,726300
2016-02-26,31.920000,32.299999,30.969999,31.260000,31.087927,865400
2016-02-29,31.150000,31.260000,30.660000,31.129999,30.958641,1041800
2016-03-01,31.389999,32.419998,31.170000,32.320000,32.142090,981100
2016-03-02,32.259998,32.439999,31.510000,31.690001,31.515560,648900
2016-03-03,31.650000,31.870001,31.650000,31.799999,31.624952,654100
2016-03-04,31.850000,31.870001,30.820000,31.070000,30.898972,624100
2016-03-07,31.030001,31.110001,30.280001,30.430000,30.262495,733600
2016-03-08,30.360001,31.850000,30.010000,31.650000,31.475779,1083800
2016-03-09,31.790001,32.250000,31.700001,32.090000,31.913357,952400
2016-03-10,32.150002,32.669998,32.099998,32.509998,32.331043,1316300
2016-03-11,32.759998,33.209999,32.509998,32.849998,32.669170,804500
2016-03-14,33.000000,34.099998,32.849998,33.959999,33.773064,1500400
