,Future_Values,Dates
0,40.79605484008789,2020-11-16
1,40.188045501708984,2020-11-17
2,40.960670471191406,2020-11-18
3,41.33123779296875,2020-11-19
4,41.050472259521484,2020-11-20
5,42.47366714477539,2020-11-23
6,44.42345428466797,2020-11-24
7,44.169986724853516,2020-11-25
8,43.2097053527832,2020-11-26
9,42.43299102783203,2020-11-27
10,43.04958724975586,2020-11-30
11,41.854984283447266,2020-12-01
12,41.771671295166016,2020-12-02
13,42.18958282470703,2020-12-03
14,42.36307907104492,2020-12-04
15,40.36775207519531,2020-12-07
16,40.36624526977539,2020-12-08
17,38.689022064208984,2020-12-09
18,38.094600677490234,2020-12-10
19,38.21483612060547,2020-12-11
20,37.76142501831055,2020-12-14
21,38.741058349609375,2020-12-15
