,Date,Close,Adj_Date,Predicted_Close
960,2019-10-01,47.740002000000004,2019-09-24,49.031174
961,2019-10-02,46.560001,2019-09-25,49.004753
962,2019-10-03,47.060001,2019-09-26,48.80906
963,2019-10-04,47.52,2019-09-27,48.465958
964,2019-10-07,47.77,2019-09-30,48.15299
965,2019-10-08,46.389998999999996,2019-10-01,47.891346
966,2019-10-09,46.84,2019-10-02,47.68041
967,2019-10-10,46.150002,2019-10-03,47.46749
968,2019-10-11,46.560001,2019-10-04,47.204456
969,2019-10-14,46.049999,2019-10-07,46.992462
970,2019-10-15,46.360001000000004,2019-10-08,46.81191
971,2019-10-16,46.790001000000004,2019-10-09,46.64102
972,2019-10-17,47.029999,2019-10-10,46.501446
973,2019-10-18,46.709998999999996,2019-10-11,46.45482
974,2019-10-21,47.389998999999996,2019-10-14,46.45597
975,2019-10-22,47.549999,2019-10-15,46.48954
976,2019-10-23,47.049999,2019-10-16,46.569405
977,2019-10-24,46.41,2019-10-17,46.665447
978,2019-10-25,46.900002,2019-10-18,46.744785
979,2019-10-28,47.169998,2019-10-21,46.754288
980,2019-10-29,47.240002000000004,2019-10-22,46.778442
981,2019-10-30,47.560001,2019-10-23,46.791695
982,2019-10-31,47.509997999999996,2019-10-24,46.8234
983,2019-11-01,47.029999,2019-10-25,46.885452
984,2019-11-04,47.48,2019-10-28,46.896233
985,2019-11-05,47.759997999999996,2019-10-29,46.93621
986,2019-11-06,48.27,2019-10-30,46.99181
987,2019-11-07,48.419998,2019-10-31,47.069534
988,2019-11-08,48.830002,2019-11-01,47.21861
989,2019-11-11,48.099998,2019-11-04,47.375263
990,2019-11-12,48.369999,2019-11-05,47.49181
991,2019-11-13,48.459998999999996,2019-11-06,47.60294
992,2019-11-14,44.91,2019-11-07,47.69533
993,2019-11-15,45.09,2019-11-08,47.546272
994,2019-11-18,45.150002,2019-11-11,47.25302
995,2019-11-19,45.470001,2019-11-12,46.89627
996,2019-11-20,45.080002,2019-11-13,46.564026
997,2019-11-21,44.84,2019-11-14,46.291874
998,2019-11-22,44.849998,2019-11-15,46.028236
999,2019-11-25,45.450001,2019-11-18,45.79673
1000,2019-11-26,45.310001,2019-11-19,45.59023
1001,2019-11-27,45.240002000000004,2019-11-20,45.45791
1002,2019-11-29,45.310001,2019-11-22,45.361786
1003,2019-12-02,44.700001,2019-11-25,45.286804
1004,2019-12-03,44.279999,2019-11-26,45.23244
1005,2019-12-04,43.889998999999996,2019-11-27,45.128082
1006,2019-12-05,43.52,2019-11-28,45.019558
1007,2019-12-06,43.84,2019-11-29,44.87979
1008,2019-12-09,43.900002,2019-12-02,44.724316
1009,2019-12-10,44.099998,2019-12-03,44.573235
1010,2019-12-11,44.279999,2019-12-04,44.43347
1011,2019-12-12,45.669998,2019-12-05,44.350807
1012,2019-12-13,45.299999,2019-12-06,44.318752
1013,2019-12-16,45.98,2019-12-09,44.42287
1014,2019-12-17,46.439999,2019-12-10,44.580723
1015,2019-12-18,46.639998999999996,2019-12-11,44.792744
1016,2019-12-19,47.880001,2019-12-12,45.041782
1017,2019-12-20,47.450001,2019-12-13,45.342175
1018,2019-12-23,48.099998,2019-12-16,45.734215
1019,2019-12-24,47.779999,2019-12-17,46.085644
1020,2019-12-26,47.849998,2019-12-19,46.44232
1021,2019-12-27,47.77,2019-12-20,46.738537
1022,2019-12-30,47.59,2019-12-23,46.996685
1023,2019-12-31,47.959998999999996,2019-12-24,47.190266
1024,2020-01-02,48.419998,2019-12-26,47.314827
1025,2020-01-03,47.630001,2019-12-27,47.433434
1026,2020-01-06,47.799999,2019-12-30,47.521168
1027,2020-01-07,47.490002000000004,2019-12-31,47.52023
1028,2020-01-08,47.52,2020-01-01,47.521896
1029,2020-01-09,47.32,2020-01-02,47.456467
1030,2020-01-10,47.130001,2020-01-03,47.431004
1031,2020-01-13,47.970001,2020-01-06,47.397068
1032,2020-01-14,47.790001000000004,2020-01-07,47.34904
1033,2020-01-15,48.009997999999996,2020-01-08,47.351673
1034,2020-01-16,49.049999,2020-01-09,47.37433
1035,2020-01-17,49.02,2020-01-10,47.445538
1036,2020-01-21,48.799999,2020-01-14,47.613537
1037,2020-01-22,49.07,2020-01-15,47.78782
1038,2020-01-23,49.0,2020-01-16,47.982845
1039,2020-01-24,48.849998,2020-01-17,48.148464
1040,2020-01-27,47.470001,2020-01-20,48.305244
1041,2020-01-28,47.77,2020-01-21,48.329205
1042,2020-01-29,47.049999,2020-01-22,48.25459
1043,2020-01-30,47.240002000000004,2020-01-23,48.16926
1044,2020-01-31,45.970001,2020-01-24,47.959377
1045,2020-02-03,46.529999,2020-01-27,47.744118
1046,2020-02-04,47.619999,2020-01-28,47.489136
1047,2020-02-05,48.450001,2020-01-29,47.303825
1048,2020-02-06,48.689999,2020-01-30,47.257668
1049,2020-02-07,47.970001,2020-01-31,47.31663
1050,2020-02-10,48.869999,2020-02-03,47.422626
1051,2020-02-11,49.130001,2020-02-04,47.49867
